,location,total_sqft,bath,balcony,price,ready_to_move,bedrooms
82,Yelahanka,1326.0,2.0,2.0,78.0,0,2
83,Garudachar Palya,1325.0,2.0,2.0,60.8,1,3
84,EPIP Zone,1499.0,5.0,2.0,102.0,1,3
85,Hegde Nagar,3000.0,7.0,2.0,210.0,1,6
86,Kanakpura Road,1665.0,3.0,2.0,88.0,1,3
87,Dasanapura,708.0,2.0,2.0,37.0,0,2
88,Kasavanhalli,1060.0,2.0,2.0,58.06,1,2
89,Rajaji Nagar,710.0,6.0,3.0,160.0,1,6
90,Sanjay nagar,1000.0,2.0,2.0,70.0,1,2
91,Electronic City,1000.0,2.0,1.0,28.88,0,2
92, Mysore Highway,1450.0,2.0,2.0,70.0,1,3
93,ISRO Layout,1200.0,4.0,2.0,155.0,1,4
94,Thanisandra,1296.0,2.0,3.0,80.0,0,2
95,Domlur,1540.0,3.0,2.0,90.0,1,3
96,Kengeri,2894.0,4.0,1.0,245.0,1,4
97,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,1,3
98,Devasthanagalu,1200.0,2.0,1.0,65.0,1,2
99,T Dasarahalli,1200.0,3.0,1.0,90.0,1,3
100,Yeshwanthpur,2502.0,3.0,3.0,138.0,1,3
101,Chandapura,650.0,1.0,1.0,17.0,1,2
102,Kothanur,2400.0,2.0,1.0,150.0,1,3
103,Green View Layout,1007.0,2.0,2.0,43.0,1,2
104,Shantiniketan Layout,1200.0,2.0,2.0,50.0,1,2
105,Peenya,966.0,2.0,2.0,49.9,1,2
106,Nagarbhavi,1630.0,2.0,1.0,98.0,1,3
107,Rajaji Nagar,1640.0,3.0,2.0,229.0,1,3
108,Jalahalli West,782.0,2.0,2.0,55.68,1,2
109,Devanahalli,1260.0,2.0,2.0,66.78,0,2
110,Lakshmiamma Garden,1800.0,3.0,3.0,120.0,1,3
111,Byatarayanapura,1413.0,2.0,2.0,75.0,1,3
112,Whitefield,1116.0,2.0,1.0,51.91,1,2
113,Electronic City,1530.0,2.0,1.0,45.9,1,3
114,Ramamurthy Nagar,3700.0,4.0,1.0,225.0,1,4
115,Sarjapur  Road,2497.0,3.0,2.0,140.0,1,3
116,Kengeri,1540.0,2.0,3.0,64.0,1,3
117,Thanisandra,1436.0,3.0,1.0,74.75,0,3
118,Malleshwaram,1100.0,2.0,2.0,75.0,0,2
119,Hennur Road,276.0,3.0,3.0,23.0,1,2
120,Thanisandra,1427.0,3.0,2.0,120.0,1,3
121,Akshaya Nagar,2061.0,3.0,1.0,200.0,1,3
122,Hebbal,5611.5,4.0,0.0,477.0,0,4
123,Shampura,2650.0,4.0,2.0,150.0,1,4
124,Devanahalli,1282.0,2.0,2.0,68.52,0,3
125,Kadugodi,1050.0,2.0,1.0,34.0,1,2
126,LB Shastri Nagar,1600.0,3.0,2.0,65.0,1,3
127,Vajarahalli,945.0,2.0,1.0,54.0,0,2
128,Hormavu,1500.0,2.0,1.0,78.0,1,2
129,Vishwapriya Layout,950.0,7.0,0.0,115.0,1,7
130,Peenya,1870.0,3.0,3.0,110.0,1,3
131,Sarjapur,1600.0,3.0,1.0,75.0,1,3
132,Electronic City,880.0,1.0,1.0,16.5,1,2
133,Ramaswamy Palya - Kammanahalli Main Road,1200.0,4.0,0.0,210.0,1,4
134,Kudlu Gate,1535.0,3.0,2.0,83.0,1,3
135,Kanakpura Road,950.0,2.0,1.0,57.0,1,2
136,Devanahalli,1360.0,2.0,1.0,65.0,0,2
137,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,0,2
138,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,0,3
139,Chandra Layout,1260.0,2.0,2.0,85.05,0,3
141,Yelahanka,3050.0,5.0,1.0,213.0,0,5
142,Kasavanhalli,1563.05,3.0,1.0,105.0,1,3
143,ISRO Layout,1000.0,2.0,1.0,60.0,1,2
144,Anandapura,1167.0,2.0,1.0,43.76,0,2
145,Vishveshwarya Layout,4000.0,7.0,2.0,225.0,1,7
147,Kengeri Satellite Town,890.0,2.0,1.0,35.0,1,2
148,Basavanapura,1612.0,3.0,3.0,46.74,1,3
150,Mysore Road,1710.0,4.0,2.0,91.31,0,3
151,Kannamangala,957.0,2.0,1.0,58.0,1,2
152, Devarachikkanahalli,1250.0,2.0,3.0,44.0,0,3
154,Hulimavu,1125.0,2.0,2.0,50.0,1,2
155,Electronic City Phase II,1020.0,2.0,1.0,30.6,0,2
156,Kalena Agrahara,1200.0,2.0,2.0,50.0,1,2
157,Thanisandra,1735.0,3.0,3.0,135.0,1,3
158,Thanisandra,2050.0,3.0,1.0,145.0,1,3
159,Mahalakshmi Layout,3750.0,4.0,0.0,760.0,1,4
160,Yarandahalli,1350.0,2.0,3.0,48.0,1,3
161,Hosa Road,1063.0,2.0,1.0,32.0,0,2
162,Keshava Nagar,1904.0,3.0,1.0,150.0,1,3
163,Whitefield,4200.0,4.0,2.0,420.0,1,4
164,RMV Extension,2000.0,3.0,1.0,175.0,1,3
165,Sarjapur,1242.5,2.0,0.0,43.49,0,2
166,Tejaswini Nagar,1425.0,2.0,2.0,75.0,1,3
167,Electronic City,1500.0,2.0,1.0,64.5,1,3
168,Electronic City,1060.0,2.0,1.0,60.0,1,2
169,Jai Bheema Nagar,1470.0,2.0,2.0,70.0,1,3
170,Kothnur Narayanapura,1300.0,6.0,0.0,99.0,1,6
171,Attibele,450.0,1.0,1.0,11.0,1,1
172,Electronic City,1152.0,2.0,1.0,64.5,0,2
173,Electronic City,1350.0,2.0,1.0,56.0,1,3
174,CV Raman Nagar,1550.0,3.0,3.0,65.0,1,3
175,CHIKKATIRUPATHI,1500.0,3.0,2.0,100.0,1,3
176,Kumaraswami Layout,600.0,3.0,2.0,85.0,1,5
177,Nagavara,400.0,1.0,0.0,14.0,1,1
178,Malleshwaram,705.0,1.0,2.0,67.0,1,1
179,Electronic City,770.0,1.0,1.0,36.0,1,2
180,Hulimavu,1242.0,2.0,3.0,51.0,1,2
181,Hebbal Kempapura,1700.0,3.0,2.0,155.0,1,3
182,Thanisandra,2144.0,3.0,2.0,145.0,1,3
183,Vijayanagar,1704.0,3.0,2.0,110.0,0,3
184,Electronic City,1070.0,2.0,1.0,52.0,1,2
185,8th block Koramangala,1846.0,3.0,2.0,300.0,1,3
186,Jakkuru Layout,1340.0,2.0,2.0,55.7,1,2
187,Electronic City,1025.0,2.0,1.0,46.0,1,2
188,KR Puram,1277.5,2.0,0.0,56.8,1,2
189,Marathahalli,1200.0,2.0,2.0,52.0,1,2
190,Kanakpura Road,2250.0,4.0,1.0,110.0,0,4
191,Pattandur Agrahara,1550.0,2.0,3.0,80.0,1,3
193,Ejipura,1800.0,7.0,1.0,250.0,1,7
194,Marathahalli,1200.0,2.0,2.0,60.0,1,2
195,Yelahanka,1327.0,2.0,2.0,98.0,1,2
196,Kothanur,1186.0,2.0,2.0,58.0,1,2
197,MS Pallya,1783.0,3.0,1.0,115.0,1,3
198,HSR Layout,1400.0,3.0,2.0,56.0,1,3
199,Nagasandra,980.0,2.0,1.0,48.0,1,2
200,EPIP Zone,1285.0,2.0,2.0,82.0,1,2
201,Langford Town,912.0,2.0,1.0,70.0,1,3
202,Whitefield,1225.0,2.0,2.0,47.6,1,2
203,Whitefield,1075.0,2.0,1.0,53.0,1,2
204,Kadugodi,1260.0,2.0,2.0,54.0,1,3
205,Yelahanka,1282.0,2.0,2.0,48.7,1,3
206,Kogilu,1909.0,3.0,2.0,88.0,1,3
207,Panathur,1359.0,2.0,1.0,87.0,1,2
208,Nagondanahalli,1207.0,2.0,2.0,43.5,1,2
209,Padmanabhanagar,1736.0,6.0,0.0,190.0,1,4
210,1st Block Jayanagar,2850.0,4.0,1.0,428.0,0,4
211,Kammasandra,1595.0,3.0,2.0,65.0,1,3
212,"Off Sarjapur Road, ",1798.0,3.0,2.0,89.0,0,3
213,Electronics City Phase 1,1475.0,3.0,2.0,78.29,1,3
214,Tala Cauvery Layout,1580.0,3.0,3.0,100.0,1,3
215,Dasarahalli,1295.0,2.0,1.0,65.0,1,2
216,Magadi Road,3600.0,6.0,0.0,141.0,1,6
217,Electronic City,589.0,1.0,1.0,27.0,1,1
218,Ngef Layout,1415.0,3.0,3.0,78.0,1,3
219,Sarjapur  Road,1787.0,3.0,2.0,98.29,0,3
220,Sarjapur  Road,1787.0,3.0,2.0,125.0,1,3
221,Koramangala,1475.0,2.0,3.0,90.0,1,3
222,"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1.0,75.5,1,4
223,Sarjapur  Road,984.0,2.0,1.0,44.28,0,2
225,Muthurayya Swamy Layout,2405.0,4.0,2.0,260.0,1,3
226,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,1,2
227,Shantiniketan Layout,1500.0,2.0,1.0,115.0,1,2
228,Hebbal,1900.0,3.0,2.0,119.0,1,3
229,Dommasandra,805.0,2.0,1.0,22.14,0,2
230,Budigere,1153.0,2.0,2.0,56.4,1,2
231,Dodda Nekkundi Extension,1148.0,2.0,2.0,60.0,1,2
232,Mylasandra,1110.0,2.0,2.0,55.0,1,2
233,Electronic City,1100.0,2.0,2.0,42.0,1,2
234,Kalyan nagar,1290.0,2.0,2.0,110.0,1,2
235,Dr Shivarama Karantha Nagar,1500.0,2.0,1.0,65.0,1,3
236,Bank Of Baroda Colony,1080.0,2.0,2.0,39.0,0,2
237,Vijayanagar,1933.0,3.0,1.0,129.0,0,3
238,Ramamurthy Nagar,3500.0,5.0,2.0,150.0,1,5
239,Kullappa Colony,1060.0,2.0,2.0,60.0,1,2
240,Chandapura,645.0,1.0,1.0,16.45,0,1
241,Mukkutam Nagar,2600.0,8.0,2.0,180.0,1,8
242,Chandapura,645.0,1.0,1.0,16.45,0,1
243,Ashwath Nagar,1644.0,3.0,3.0,84.0,1,3
244,Ncpr Industrial Layout,1285.0,2.0,3.0,72.5,1,2
245,Electronic City,1200.0,3.0,1.0,90.0,1,3
246,Electronic City,910.0,2.0,1.0,40.0,1,2
247,Kothanur,1577.0,3.0,1.0,70.0,1,3
248,Meenakunte,4050.0,3.0,2.0,280.0,0,3
249,OMBR Layout,2420.0,3.0,2.0,185.0,1,3
250,Chandapura,800.0,1.0,1.0,20.0,1,2
251,Anand Nagar,1060.0,2.0,2.0,55.0,1,2
252,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,1,2
253,Shree Ananth Nagar Layout,900.0,2.0,2.0,22.5,0,2
254,Kundalahalli Colony,1280.0,2.0,1.0,69.0,1,2
255,Horamavu Agara,1200.0,2.0,0.0,95.0,1,4
256,Sarjapur  Road,1025.0,2.0,2.0,36.0,1,2
257,Electronic City,1108.0,2.0,1.0,63.0,0,2
259,Coffee Board Layout,3045.0,3.0,2.0,170.0,1,3
260,Ambedkar Nagar,2900.0,3.0,2.0,300.0,1,4
261,Vijayanagar,1500.0,3.0,2.0,75.5,1,3
262,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,1,2
263,Budigere,1162.0,2.0,1.0,59.9,1,2
264,Sarjapur  Road,1035.0,2.0,2.0,49.2,1,2
265,Attibele,1600.0,4.0,0.0,52.8,1,4
266,KUDLU MAIN ROAD,1464.0,3.0,2.0,46.0,1,3
267,Hennur Road,1866.0,2.0,2.0,61.58,0,3
268,Geleyara Balaga Layout,700.0,1.0,1.0,26.0,1,2
269,Kalena Agrahara,1804.0,3.0,2.0,120.0,1,3
270,Sarjapur,913.0,2.0,1.0,32.0,1,2
271,Talaghattapura,1868.0,3.0,2.0,131.0,0,3
272,Kengeri Satellite Town,883.0,2.0,1.0,45.0,1,2
273,Sundara Nagar,900.0,2.0,1.0,110.0,1,2
274,Kogilu,1664.0,2.0,3.0,73.95,1,3
275,Hegde Nagar,2026.0,3.0,2.0,132.0,1,3
276,Balagere,1210.0,2.0,1.0,80.9,1,2
277,Meenakunte,4111.0,4.0,2.0,250.0,1,4
278,Kadugodi,1762.0,3.0,3.0,91.45,1,3
279,Jigani,1252.0,3.0,3.0,55.0,1,3
280,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,1,2
281,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,1,3
282,Srirampura,1450.0,6.0,0.0,250.0,1,6
283,Electronics City Phase 1,1490.0,3.0,1.0,78.8,1,3
284,Bisuvanahalli,1075.0,2.0,1.0,46.0,1,3
285,Old Madras Road,1425.0,2.0,2.0,94.0,0,3
286,Kalena Agrahara,1200.0,2.0,1.0,40.0,1,2
287,Kaggadasapura,1280.0,2.0,2.0,56.0,1,3
288,Silver Springs Layout,1084.0,2.0,2.0,50.0,1,2
289,Chandapura,1015.0,2.0,2.0,25.88,0,2
290,Kanakpura Road,1017.0,2.0,1.0,51.25,0,2
291,Haralur Road,1027.0,2.0,2.0,44.0,1,2
292,Electronic City Phase II,1069.0,2.0,2.0,45.0,1,2
293,Hebbal,1349.0,2.0,1.0,98.2,1,2
294,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,1,2
295,Jakkur,1417.0,2.0,3.0,75.0,1,2
296,TC Palaya,1475.0,3.0,1.0,98.0,0,3
297,Maruthi Sevanagar,950.0,2.0,2.0,47.0,1,2
298,RMV 2nd Stage,2000.0,4.0,0.0,120.0,1,4
299,Giri Nagar,880.0,3.0,1.0,140.0,1,3
300,Sarjapur  Road,1863.0,3.0,2.0,104.0,1,4
301,Singasandra,1010.0,2.0,1.0,29.5,1,2
302,Kalena Agrahara,1425.0,2.0,1.0,70.0,1,3
303,Vijayanagar,1450.0,3.0,0.0,100.0,1,3
304,Kothanur,1847.0,3.0,2.0,105.0,1,3
305,AECS Layout,1100.0,2.0,3.0,45.0,1,2
306,Kanakpura Road,525.0,1.0,1.0,26.0,0,1
307,Mallasandra,1665.0,3.0,2.0,95.0,1,3
308,Begur,1664.0,4.0,3.0,65.0,1,4
309,JP Nagar,1850.0,3.0,3.0,150.0,1,3
310,Panathur,1438.0,2.0,3.0,100.0,1,2
311,Sunder Ram Shetty Nagar,1560.0,3.0,3.0,115.0,1,3
312,Yelahanka,1350.0,2.0,1.0,55.55,0,2
313,Kanakpura Road,1550.0,3.0,3.0,67.0,1,3
314,Malleshpalya,1140.0,2.0,2.0,46.5,0,2
315,Srirampura,1200.0,5.0,2.0,180.0,1,5
316,Kodathi,850.0,2.0,2.0,27.0,0,2
317,Whitefield,1280.0,2.0,2.0,75.0,1,2
318,Munnekollal,1170.0,2.0,2.0,52.0,1,2
319,Motappa Layout,1113.0,2.0,1.0,51.0,1,2
320,Hennur Road,1385.0,2.0,1.0,83.09,1,2
321,Electronic City,1128.0,2.0,1.0,65.0,0,2
322,Marathahalli,1200.0,2.0,2.0,128.0,1,2
323,Akshaya Vana,1200.0,4.0,3.0,165.0,1,4
324,Rajaji Nagar,2390.0,3.0,2.0,415.0,1,3
325,Giri Nagar,2400.0,4.0,1.0,400.0,1,4
326,Haralur Road,1464.0,3.0,2.0,56.0,1,3
327,Manayata Tech Park,1200.0,2.0,2.0,55.0,1,2
328,Kaval Byrasandra,1200.0,2.0,2.0,52.0,1,2
329,Kaggalipura,1150.0,2.0,1.0,55.0,1,3
330,Basavanna Nagar,1645.0,3.0,2.0,95.0,1,3
331,Sarjapur  Road,1000.0,2.0,1.0,67.0,0,2
332,Haralur Road,2650.0,4.0,2.0,198.0,1,4
333,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,1,2
334,Ulsoor,2135.0,3.0,2.0,215.0,1,3
335,Whitefield,1173.0,2.0,1.0,58.0,0,2
336,Uttarahalli,1020.0,2.0,2.0,45.0,1,2
337,Thigalarapalya,3122.0,6.0,2.0,230.0,1,4
338,Somasundara Palya,1600.0,3.0,3.0,64.0,1,3
339,T.C PALYA,1200.0,2.0,0.0,79.0,0,2
340,Muneshwara Nagar,1230.0,2.0,3.0,48.0,1,2
341, Devarachikkanahalli,1250.0,2.0,2.0,40.0,1,2
342,Kalena Agrahara,1325.0,2.0,2.0,76.0,1,2
343,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,1,3
345,Basaveshwara Nagar,1200.0,2.0,2.0,65.0,1,2
346,Bull Temple Road,1350.0,2.0,0.0,140.0,1,3
347,Bommasandra,1260.0,3.0,1.0,49.36,0,3
348,Prashanth Nagar,1800.0,3.0,0.0,150.0,1,3
349,Suragajakkanahalli,11.0,3.0,2.0,74.0,0,3
350,Ardendale,1100.0,2.0,1.0,43.25,1,2
351,Harlur,1508.0,2.0,1.0,77.0,1,2
352,Sampigehalli,1592.0,3.0,2.0,75.0,1,3
353,Akshaya Nagar,1388.0,2.0,3.0,57.0,1,2
354,Electronic City Phase II,630.0,1.0,1.0,28.35,0,1
355,RMV,2000.0,3.0,2.0,365.0,1,3
356,Banashankari3rd stage bigbazar,1762.0,3.0,1.0,125.0,1,3
357,Bagalur Main Road,950.0,2.0,2.0,50.0,0,2
358,Kodihalli,3252.0,5.0,3.0,335.0,1,4
359,Magadi Road,1116.0,2.0,1.0,50.0,0,2
360,Narayanapura,1308.0,2.0,2.0,89.04,1,2
361,MS Pallya,1200.0,3.0,0.0,90.0,1,3
362,Binny Mills Employees Colony,1500.0,4.0,2.0,230.0,1,4
363,Bannerghatta Road,500.0,1.0,1.0,18.5,1,1
364,Hennur,1075.0,2.0,1.0,52.0,1,2
365,Chandapura,530.0,1.0,0.0,11.66,0,1
366,Bellandur,1205.0,2.0,3.0,66.0,1,2
367,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,1,2
368,KR Puram,930.0,2.0,2.0,39.0,1,2
369,Balagere,1380.0,2.0,1.0,60.0,1,2
370,Hebbal,2483.0,5.0,2.0,212.0,1,4
371,Kodigehaali,1166.0,2.0,2.0,55.0,1,2
372,Bannerghatta Road,1050.0,2.0,1.0,65.0,1,2
373,Gopalapura,2023.71,3.0,2.0,275.0,0,3
374,Begur Road,1200.0,2.0,2.0,46.8,1,2
375,Lakshminarayana Pura,1600.0,2.0,1.0,108.0,1,3
376,Billekahalli,1935.0,3.0,2.0,110.0,1,3
377,8th Phase JP Nagar,451.0,1.0,0.0,29.9,0,1
378,Electronic City,1800.0,3.0,2.0,95.0,1,3
379,Jalahalli,1400.0,3.0,0.0,77.0,0,3
380,Hegde Nagar,1801.0,3.0,2.0,115.0,1,3
382,Anekal,1200.0,1.0,1.0,36.0,0,2
383,Begur Road,1160.0,2.0,2.0,44.0,1,2
384,Kengeri,1000.0,2.0,1.0,25.0,1,2
385,Kanakpura Road,950.0,2.0,1.0,40.0,1,2
386,"Hoodi Circle, ",1629.0,3.0,2.0,79.0,0,3
387,Vijayanagar,1580.0,2.0,0.0,134.0,1,3
388,Vijayanagar,1826.0,3.0,2.0,121.0,0,3
389,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,1,2
390,Raja Rajeshwari Nagar,1145.0,2.0,2.0,45.79,1,2
391,Sompura,825.0,2.0,1.0,33.0,1,2
392,Yeshwanthpur,1693.0,3.0,3.0,108.0,0,3
393,Electronics City Phase 1,1113.27,2.0,2.0,53.0,1,2
394,Ashirvad Colony,1460.0,2.0,1.0,58.0,1,2
395,Doddathoguru,1050.0,2.0,1.0,32.0,1,2
396,Dodda Nekkundi,1260.0,2.0,2.0,55.0,1,2
398,Hosur Road,1656.0,2.0,1.0,120.0,1,2
399,Chandapura,1208.0,3.0,1.0,45.0,1,3
400,Whitefield,1910.0,3.0,2.0,161.0,1,3
401,Whitefield,3252.0,4.0,1.0,230.0,1,4
402,Battarahalli,1200.0,2.0,1.0,65.0,1,2
403,Gokula Extension,1200.0,4.0,1.0,175.0,1,4
404,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,1,2
405,Kamakshipalya,1000.0,2.0,0.0,165.0,1,2
406,Bannerghatta Road,1200.0,2.0,0.0,125.0,1,4
407,Rajaji Nagar,2390.0,3.0,2.0,410.0,1,3
408,Rajaji Nagar,12000.0,6.0,3.0,2200.0,0,7
409,Sultan Palaya,550.0,1.0,1.0,62.0,1,2
412,Kengeri,750.0,2.0,1.0,38.0,1,2
413,Mahalakshmi Layout,1200.0,7.0,3.0,250.0,1,6
414,Kanakpura Road,1550.0,3.0,3.0,64.5,1,3
415,Amco Colony,1760.0,3.0,2.0,88.0,1,3
416,Billekahalli,1125.0,2.0,2.0,62.0,1,2
417,Nagarbhavi,1350.0,3.0,2.0,150.0,1,3
418,Anandapura,1000.0,2.0,1.0,55.0,0,2
419,Bommasandra Industrial Area,1090.0,2.0,2.0,31.48,0,2
420,TC Palaya,1200.0,2.0,0.0,60.0,1,2
421,Budigere,1991.0,4.0,2.0,103.0,1,3
422,Bommasandra,1060.0,2.0,1.0,26.5,0,2
423,Ambalipura,1105.0,2.0,1.0,75.0,1,2
424,Hoodi,985.0,2.0,2.0,67.0,1,2
425,Chandapura,1533.0,5.0,3.0,85.0,1,6
426,Balagere,1590.0,3.0,2.0,79.0,0,3
427,CV Raman Nagar,1120.0,2.0,2.0,55.0,1,2
428,Samethanahalli,1069.0,2.0,1.0,55.0,1,2
429,Marathahalli,1933.0,3.0,2.0,140.0,1,3
430,Hosur Road,1194.0,2.0,0.0,69.0,0,2
431,Brookefield,1150.0,2.0,3.0,69.0,1,2
432,Yelenahalli,1240.0,2.0,2.0,47.12,1,2
433,Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.1,1,2
436,Suddaguntepalya,1450.0,3.0,2.0,55.0,1,3
437,Udayapur Village,1630.0,3.0,2.0,68.29,0,3
438,Dasanapura,708.0,1.0,1.0,40.0,1,2
439,Kasavanhalli,1000.0,4.0,3.0,110.0,1,3
440,Whitefield,11890.0,4.0,3.0,700.0,1,4
441,Bellandur,1250.0,2.0,1.0,76.0,1,2
442,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,1,3
443,Sarjapur  Road,1670.0,2.0,3.0,57.0,1,3
444,Ardendale,1750.0,3.0,2.0,100.0,1,3
445,Vittasandra,1404.0,2.0,1.0,71.0,1,2
446,Hoodi,1715.0,2.0,2.0,95.0,1,3
447,Electronic City,630.0,1.0,1.0,34.65,0,1
448,Harlur,1752.12,3.0,2.0,135.0,1,3
449,Hulimavu,1650.0,3.0,2.0,78.0,1,3
450,Raja Rajeshwari Nagar,1295.0,2.0,1.0,55.47,1,2
451,Giri Nagar,1800.0,3.0,2.0,252.0,1,3
452,Sarjapur  Road,1346.0,2.0,1.0,74.03,0,2
453,Thippasandra,1200.0,4.0,2.0,200.0,1,4
454,Hormavu,1150.0,2.0,2.0,55.0,1,2
455,Chikkabidarakallu,3309.0,4.0,3.0,325.0,1,4
456,Chandapura,1190.0,2.0,2.0,30.35,0,3
457,AECS Layout,1620.0,3.0,2.0,98.0,1,3
458,Marathahalli,950.0,2.0,1.0,46.96,0,2
459,1 Giri Nagar,5000.0,9.0,3.0,360.0,1,11
460,Harlur,2450.0,3.0,0.0,120.0,1,3
461,Electronic City Phase II,1220.0,2.0,1.0,35.23,0,3
462,Hoysalanagar,850.0,2.0,1.0,30.0,1,2
463,Padmanabhanagar,1020.0,2.0,2.0,63.0,1,2
464,Chikkalasandra,1100.0,2.0,2.0,50.0,1,2
465,Defence Colony,1150.0,2.0,2.0,126.0,1,2
466,Hebbal,1760.0,2.0,2.0,130.0,0,3
